uid,uname,gender,zodiac,last_seen,duty,vip,IsFemale,IsNA,login,post,life,uscore,ycf,isDuty,isBM,isManager,isVIP
38,xywang,ÄÐ,±£ÃÜ,2018/1/15 21:52,user,NA,0,0,168,1,108,0.5,0,0,0,0,0
39,plusqingfeng,ÄÐ,±£ÃÜ,2018/1/23 19:35,user,NA,0,0,56,1,116,0.5,0,0,0,0,0
40,blueonskies,ÄÐ,Ë«Óã×ù,2018/1/21 11:49,user,NA,0,0,1637,130,658,2.8,0,0,0,0,0
41,condor,ÄÐ,¾ÞÐ·×ù,2017/11/28 12:39,user,NA,0,0,1645,150,605,2.9,0,0,0,0,0
42,mrcola,ÄÐ,ÉäÊÖ×ù,2018/1/27 9:34,user,NA,0,0,1656,103,664,2.8,3,0,0,0,0
43,Yositsune,ÄÐ,Ê¨×Ó×ù,2017/2/1 3:00,user,NA,0,0,258,90,304,2.7,0,0,0,0,0
44,chally,Å®,¾ÞÐ·×ù,2017/11/15 16:20,user,NA,1,0,737,66,592,2.6,1,0,0,0,0
45,maths,ÄÐ,½ðÅ£×ù,2017/9/30 12:56,user,NA,0,0,1253,4942,546,4.7,1,0,0,0,0
46,makior,Å®,Ë«×Ó×ù,2017/12/11 18:41,user,NA,1,0,198,7,73,0.8,0,0,0,0,0
47,shiness,ÄÐ,¾ÞÐ·×ù,2018/1/25 22:05,user,NA,0,0,2310,634,663,3.5,0,0,0,0,0
48,foolday,ÄÐ,Ä¦ôÉ×ù,2017/12/27 15:17,user,NA,0,0,1166,70,634,2.6,0,0,0,0,0
49,tangdd,Å®,Ä¦ôÉ×ù,2018/1/27 0:05,user,NA,1,0,1856,142,119,2,0,0,0,0,0
50,shineclover,Å®,Ìì³Ó×ù,2018/1/26 22:44,user,NA,1,0,2960,58,664,2.6,0,0,0,0,0
51,suisan,Å®,±£ÃÜ,2018/1/12 21:46,user,NA,1,0,10,2,105,0.2,0,0,0,0,0
52,HowardZheng,ÄÐ,ÌìÐ«×ù,2017/12/11 20:28,user,NA,0,0,2015,70,618,2.6,0,0,0,0,0
53,zhangying,Å®,Ä¦ôÉ×ù,2016/12/14 20:48,user,NA,1,0,768,84,256,2.7,0,0,0,0,0
54,llnllpku,ÄÐ,½ðÅ£×ù,2018/1/25 17:54,user,NA,0,0,340,57,118,2.5,0,0,0,0,0
55,zlheng,ÄÐ,±£ÃÜ,2017/11/28 10:11,user,NA,0,0,4,0,59,0.1,0,0,0,0,0
56,wps,ÄÐ,´¦Å®×ù,2018/1/21 13:55,user,NA,0,0,724,42,659,2.5,0,0,0,0,0
57,qu,Å®,Ê¨×Ó×ù,2018/1/25 20:07,user,NA,1,0,486,27,439,2.4,0,0,0,0,0
58,roppo,ÄÐ,±£ÃÜ,2018/1/26 18:30,user,NA,0,0,2516,378,394,3.3,0,0,0,0,0
59,nowhereman,ÄÐ,ÉäÊÖ×ù,2018/1/11 19:28,user,NA,0,0,1463,597,649,3.5,0,0,0,0,0
60,witten,ÄÐ,±£ÃÜ,2017/11/29 0:16,user,NA,0,0,18,1,60,0.4,0,0,0,0,0
61,qieyt,±£ÃÜ,±£ÃÜ,2018/1/2 8:10,user,NA,0,1,3,0,4,0,0,0,0,0,0
62,liuchuli,ÄÐ,±£ÃÜ,2018/1/27 6:33,user,NA,0,0,308,0,29,0.3,0,0,0,0,0
63,WZabc,ÄÐ,Ë«Óã×ù,2018/1/8 11:13,user,NA,0,0,3,0,10,0,0,0,0,0,0
64,yinpingmao,Å®,Ë®Æ¿×ù,2018/1/26 22:33,user,NA,1,0,188,8,119,0.2,0,0,0,0,0
65,smyloveyj,Å®,Ë«Óã×ù,2017/8/10 16:16,user,NA,1,0,129,17,243,2.3,0,0,0,0,0
66,motianlun,ÄÐ,Ä¦ôÉ×ù,2017/10/20 9:30,user,NA,0,0,64,3,20,0.8,0,0,0,0,0
67,yuner,Å®,ÌìÐ«×ù,2017/10/24 12:37,user,NA,1,0,4,0,25,0.1,0,0,0,0,0
68,andyzerm,ÄÐ,ÄµÑò×ù,2017/9/19 23:52,user,NA,0,0,373,0,347,2,0,0,0,0,0
69,SydneyD,Å®,Ë®Æ¿×ù,2018/1/22 17:30,user,NA,1,0,16,0,25,0,0,0,0,0,0
70,LouisTNS,ÄÐ,ÉäÊÖ×ù,2018/1/17 10:57,user,NA,0,0,156,25,109,1,0,0,0,0,0
71,kyleleung,±£ÃÜ,±£ÃÜ,2018/1/27 10:37,user,NA,0,1,3976,215,364,2.8,0,0,0,0,0
72,yanqidi,ÄÐ,Ë«×Ó×ù,2018/1/26 13:44,user,NA,0,0,2481,161,664,2.9,0,0,0,0,0
73,ceciliaqq,Å®,Ä¦ôÉ×ù,2005/7/4 1:34,user,NA,1,0,1360,11847,999,8.3,0,0,0,0,0
74,shizhi,ÄÐ,Ë«Óã×ù,2017/1/19 13:42,user,NA,0,0,2134,566,292,3.5,0,0,0,0,0
75,Apointedhead,ÄÐ,Ìì³Ó×ù,2018/1/26 20:03,user,NA,0,0,1699,1,664,2,0,0,0,0,0
76,weizj,ÄÐ,Ä¦ôÉ×ù,2017/11/15 14:42,user,NA,0,0,2365,243,592,3.1,0,0,0,0,0
77,livialyric,Å®,Ë«Óã×ù,2016/12/14 20:48,user,NA,1,0,2137,784,256,3.6,0,0,0,0,0
78,jiangzhinan,±£ÃÜ,±£ÃÜ,2017/10/10 8:15,user,NA,0,1,4,0,10,0.2,0,0,0,0,0
79,Softdrop,ÄÐ,ÄµÑò×ù,2017/1/9 18:34,user,NA,0,0,832,149,282,2.9,0,0,0,0,0
80,DanteG,ÄÐ,Ä¦ôÉ×ù,2018/1/21 22:20,user,NA,0,0,8,0,114,0,0,0,0,0,0
81,MGlory,ÄÐ,Ìì³Ó×ù,2018/1/23 14:15,user,NA,0,0,107,11,116,0.3,0,0,0,0,0
82,wancanvc,ÄÐ,Ë®Æ¿×ù,2018/1/22 5:25,user,NA,0,0,3,0,24,0,0,0,0,0,0
83,eileen,Å®,ÉäÊÖ×ù,2018/1/21 19:55,user,NA,1,0,269,8,114,2,0,0,0,0,0
84,fortuna,ÄÐ,½ðÅ£×ù,2016/12/14 14:18,user,NA,0,0,806,158,256,2.9,0,0,0,0,0
85,shanshan,ÄÐ,±£ÃÜ,2017/9/20 12:24,user,NA,0,0,3871,1419,536,3.9,0,0,0,0,0
86,Wulideng,±£ÃÜ,±£ÃÜ,2017/12/31 9:29,user,NA,0,1,6,0,92,0.1,0,0,0,0,0
87,xpjeecs,ÄÐ,ÄµÑò×ù,2017/9/25 20:30,user,NA,0,0,88,0,391,2,0,0,0,0,0
88,qmkkx,Å®,Ìì³Ó×ù,2017/11/25 23:22,user,NA,1,0,11,0,57,0.1,0,0,0,0,0
89,carmen,Å®,ÌìÐ«×ù,2018/1/20 16:53,user,NA,1,0,65,16,113,1.7,0,0,0,0,0
90,BubbleFish,Å®,Ä¦ôÉ×ù,2017/12/26 16:37,user,NA,1,0,105,19,88,0.8,0,0,0,0,0
91,arm,±£ÃÜ,ÌìÐ«×ù,2002/12/31 13:51,°æÎñ,NA,0,1,3502,25441,999,8.8,0,1,1,0,0
92,littlefisher,Å®,Ë«×Ó×ù,2007/8/15 3:09,user,NA,1,0,4944,23830,999,8.8,0,0,0,0,0
93,tykswtr,ÄÐ,ÉäÊÖ×ù,2016/10/20 5:39,user,NA,0,0,80,0,200,2,0,0,0,0,0
94,jasondai,ÄÐ,Ä¦ôÉ×ù,2017/5/10 2:06,user,NA,0,0,1975,238,402,3.1,0,0,0,0,0
95,doujiao,Å®,Ë«Óã×ù,2016/8/29 0:25,user,NA,1,0,1088,914,148,3.7,4,0,0,0,0
96,Cynosure,±£ÃÜ,Ë®Æ¿×ù,2017/6/6 8:31,user,NA,0,1,720,984,429,3.7,0,0,0,0,0
97,widerklage,ÄÐ,Ë«Óã×ù,2018/1/25 0:01,user,NA,0,0,873,21,455,2.3,0,0,0,0,0
98,youyouchuq,Å®,Ë®Æ¿×ù,2018/1/25 1:10,user,NA,1,0,24,2,117,0.2,0,0,0,0,0
99,fangkou,Å®,Ë«×Ó×ù,2017/2/4 10:16,user,NA,1,0,951,53,307,2.5,0,0,0,0,0
100,DB,Å®,Ä¦ôÉ×ù,2016/10/31 10:39,user,NA,1,0,2160,295,211,3.2,0,0,0,0,0
101,xonglin,ÄÐ,ÌìÐ«×ù,2018/1/19 23:51,user,NA,0,0,82,0,112,0.7,0,0,0,0,0
102,gxfeng,ÄÐ,Ìì³Ó×ù,2017/11/26 11:21,user,NA,0,0,1244,142,602,2.9,0,0,0,0,0
103,pkuoo,ÄÐ,Ä¦ôÉ×ù,2018/1/25 16:20,user,NA,0,0,973,55,447,2.6,0,0,0,0,0
104,rout,ÄÐ,ÌìÐ«×ù,2016/9/2 8:21,user,NA,0,0,133,135,152,2.9,0,0,0,0,0
105,Garyyy,ÄÐ,±£ÃÜ,2017/12/18 20:12,user,NA,0,0,13,19,80,0.4,0,0,0,0,0
106,truthspy,±£ÃÜ,Ä¦ôÉ×ù,2018/1/7 3:34,user,NA,0,1,4351,60,644,2.6,0,0,0,0,0
107,lightspeed,±£ÃÜ,±£ÃÜ,2004/12/31 12:47,user,NA,0,1,1722,2753,999,7.3,0,0,0,0,0
108,chenhao,ÄÐ,´¦Å®×ù,2003/4/17 3:26,user,NA,0,0,4121,5235,999,7.7,0,0,0,0,0
109,dtbs,ÄÐ,ÌìÐ«×ù,2018/1/26 9:04,user,NA,0,0,1274,10,478,2.2,0,0,0,0,0
110,msfwl,Å®,ÄµÑò×ù,2017/12/4 20:48,user,NA,1,0,6,0,66,0.1,0,0,0,0,0
111,liuxinyue,Å®,Ìì³Ó×ù,2017/10/25 16:08,user,NA,1,0,205,1,348,2,0,0,0,0,0
112,yuzho,±£ÃÜ,±£ÃÜ,2018/1/27 6:18,user,NA,0,1,515,0,29,0.5,0,0,0,0,0
113,Jaynes,ÄÐ,Ä¦ôÉ×ù,2018/1/4 8:48,user,NA,0,0,3,0,6,0,0,0,0,0,0
114,limochen,ÄÐ,Ìì³Ó×ù,2017/10/29 15:39,user,NA,0,0,237,1,378,2,0,0,0,0,0
115,ShirleyW,Å®,¾ÞÐ·×ù,2018/1/8 0:18,user,NA,1,0,5,0,100,0.1,0,0,0,0,0
116,myf,Å®,Ä¦ôÉ×ù,2016/12/14 20:48,user,NA,1,0,543,47,256,2.5,0,0,0,0,0
117,glorydragon,ÄÐ,Ê¨×Ó×ù,2017/3/11 20:58,user,NA,0,0,1809,141,343,2.9,0,0,0,0,0
118,hahalili,Å®,Ë®Æ¿×ù,2018/1/26 22:56,user,NA,1,0,174,2,119,1.1,0,0,0,0,0
119,Heartjia,Å®,±£ÃÜ,2017/12/27 9:24,user,NA,1,0,16,1,88,0.2,0,0,0,0,0
120,seike,Å®,±£ÃÜ,2017/12/16 9:19,user,NA,1,0,712,0,322,0.8,0,0,0,0,0
121,petergreen,ÄÐ,Ê¨×Ó×ù,2017/6/16 21:30,user,NA,0,0,340,171,394,2.9,0,0,0,0,0
122,yumico,Å®,½ðÅ£×ù,2018/1/25 22:44,user,NA,1,0,1842,149,363,2.4,0,0,0,0,0
123,cindydear,±£ÃÜ,±£ÃÜ,2018/1/25 10:26,user,NA,0,1,63,29,117,0.5,0,0,0,0,0
124,heimao,±£ÃÜ,Ë®Æ¿×ù,2017/1/18 23:06,user,NA,0,1,3569,9764,291,5.1,0,0,0,0,0
125,gongzi,ÄÐ,´¦Å®×ù,2018/1/8 21:04,user,NA,0,0,114,22,101,2,0,0,0,0,0
126,zhaoanl,ÄÐ,ÉäÊÖ×ù,2018/1/26 19:10,user,NA,0,0,69,0,119,0.1,0,0,0,0,0
127,tianzhiyi,ÄÐ,ÌìÐ«×ù,2018/1/27 11:17,user,NA,0,0,2892,240,664,3.1,0,0,0,0,0
128,DLZX,ÄÐ,Ê¨×Ó×ù,2018/1/18 18:23,user,1,0,0,1039,156,629,2.9,0,0,0,0,1
129,wqq,ÄÐ,Ä¦ôÉ×ù,2016/11/30 16:40,user,NA,0,0,489,98,242,2.7,0,0,0,0,0
130,golddust,Å®,Ìì³Ó×ù,2017/9/6 17:36,user,NA,1,0,2842,4969,522,4.7,0,0,0,0,0
131,zzboss,ÄÐ,ÉäÊÖ×ù,2018/1/25 9:20,user,NA,0,0,2,4,27,0,0,0,0,0,0
132,Satan,ÄÐ,ÉäÊÖ×ù,2017/12/28 11:29,user,NA,0,0,3372,3215,634,4.4,0,0,0,0,0
133,rosalina,Å®,¾ÞÐ·×ù,2017/11/22 10:44,user,NA,1,0,4,0,53,0.1,0,0,0,0,0
134,AkiraSendoh,±£ÃÜ,±£ÃÜ,2016/5/4 15:07,user,NA,0,1,225,0,32,2,0,0,0,0,0
135,littleredxh,ÄÐ,ÌìÐ«×ù,2017/11/29 15:05,user,NA,0,0,4,0,61,0.1,0,0,0,0,0
136,jj,±£ÃÜ,±£ÃÜ,2017/5/5 15:38,user,NA,0,1,4198,4881,398,4.7,0,0,0,0,0
137,chenchang,Å®,Ê¨×Ó×ù,2018/1/23 21:40,user,NA,1,0,32,2,116,1.3,0,0,0,0,0
138,God,±£ÃÜ,Ä¦ôÉ×ù,2016/7/29 15:15,user,NA,0,1,246,105,118,2.8,0,0,0,0,0
139,ceciliacx,Å®,ÄµÑò×ù,2017/9/6 18:39,user,NA,1,0,222,11,487,2.2,0,0,0,0,0
140,pengjiamu,ÄÐ,Ê¨×Ó×ù,2016/10/14 19:41,user,NA,0,0,1258,128,195,2.8,0,0,0,0,0
141,lqyluck,Å®,´¦Å®×ù,2016/6/30 15:11,user,NA,1,0,592,5,4,2,0,0,0,0,0
142,Gaoqiaochu,±£ÃÜ,±£ÃÜ,2017/12/31 15:49,user,NA,0,1,339,2,93,1.8,0,0,0,0,0
143,ACMilan,ÄÐ,ÌìÐ«×ù,2016/10/27 9:57,°æÎñ,NA,0,0,2711,8997,207,5.1,0,1,1,0,0
144,zhiyuanlou,ÄÐ,Ä¦ôÉ×ù,2017/11/6 14:51,user,NA,0,0,123,9,583,2.1,0,0,0,0,0
145,RuiniLan,±£ÃÜ,±£ÃÜ,2017/12/29 11:12,user,NA,0,1,6,0,90,0.1,0,0,0,0,0
146,WKYD,Å®,Ä¦ôÉ×ù,2016/7/5 22:57,user,NA,1,0,2758,5109,94,4.7,0,0,0,0,0
147,Anasting,Å®,ÌìÐ«×ù,2018/1/27 10:51,user,NA,1,0,2855,117,664,2.8,0,0,0,0,0
148,Hammy,ÄÐ,ÉäÊÖ×ù,2017/10/7 13:02,user,NA,0,0,33,0,8,1.2,0,0,0,0,0
149,happymio,Å®,ÉäÊÖ×ù,2018/1/27 12:23,user,NA,1,0,1662,12,364,1.9,0,0,0,0,0
150,Star,ÄÐ,±£ÃÜ,2017/12/2 23:23,user,NA,0,0,1222,1,609,2,0,0,0,0,0
151,Anita,Å®,Ê¨×Ó×ù,2017/9/27 22:17,user,NA,1,0,719,608,543,3.5,0,0,0,0,0
152,ladyw,Å®,´¦Å®×ù,2017/3/14 22:23,user,NA,1,0,206,50,346,2.5,0,0,0,0,0
153,cowww,ÄÐ,¾ÞÐ·×ù,2017/5/25 7:41,user,NA,0,0,1629,1006,417,3.8,0,0,0,0,0
154,binlorodevia,ÄÐ,ÉäÊÖ×ù,2018/1/26 18:45,user,NA,0,0,1697,48,384,2.5,0,0,0,0,0
155,aaaaa,ÄÐ,´¦Å®×ù,2018/1/23 9:25,user,NA,0,0,2,0,25,0,0,0,0,0,0
156,wanglihao,ÄÐ,±£ÃÜ,2018/1/10 8:11,user,NA,0,0,10,0,102,0,0,0,0,0,0
157,Zhangqingda,ÄÐ,Ä¦ôÉ×ù,2018/1/26 22:04,user,NA,0,0,69,0,29,0,0,0,0,0,0
158,qinghuangxp,Å®,¾ÞÐ·×ù,2017/12/28 17:32,user,NA,1,0,210,2,497,2,0,0,0,0,0
159,kampf,ÄÐ,½ðÅ£×ù,2016/9/7 13:34,user,NA,0,0,87,0,158,2,0,0,0,0,0
160,hnldxwj,ÄÐ,½ðÅ£×ù,2018/1/27 11:36,user,NA,0,0,2289,84,364,2.5,0,0,0,0,0
161,wangbitao,ÄÐ,Ä¦ôÉ×ù,2018/1/4 20:46,user,NA,0,0,525,1,342,1.6,0,0,0,0,0
162,mingjingyue,ÄÐ,Ä¦ôÉ×ù,2018/1/25 20:25,user,NA,0,0,340,124,461,2.8,0,0,0,0,0
163,kouzh,ÄÐ,±£ÃÜ,2010/6/2 14:57,°æÎñ,NA,0,0,4702,13295,999,8.4,0,1,1,0,0
164,abnerarcher,±£ÃÜ,Ë«Óã×ù,2017/12/23 11:10,user,NA,0,1,7,2,84,0.1,0,0,0,0,0
165,hyzhang,ÄÐ,Ä¦ôÉ×ù,2018/1/25 15:07,user,NA,0,0,702,9,462,2.1,0,0,0,0,0
166,Manda,±£ÃÜ,±£ÃÜ,2017/12/23 19:53,user,NA,0,1,9,3,85,0.3,0,0,0,0,0
167,huanfeng,ÄÐ,Ë«Óã×ù,2018/1/23 9:18,user,NA,0,0,19,0,115,0.1,0,0,0,0,0
168,melissa,±£ÃÜ,Ë«×Ó×ù,2018/1/24 8:37,user,NA,0,1,2,0,26,0,0,0,0,0,0
169,panwl,ÄÐ,Ë«Óã×ù,2017/11/3 13:15,user,NA,0,0,4102,249,580,3.1,0,0,0,0,0
170,xinwen,Å®,Ä¦ôÉ×ù,2017/9/7 16:11,user,NA,1,0,770,138,523,2.9,0,0,0,0,0
171,botong,ÄÐ,Ä¦ôÉ×ù,2017/7/16 23:40,user,NA,0,0,664,46,221,2.5,0,0,0,0,0
172,thymus,ÄÐ,ÉäÊÖ×ù,2018/1/27 9:52,user,NA,0,0,1535,5,474,2,0,0,0,0,0
173,Daisyxxx,Å®,¾ÞÐ·×ù,2018/1/26 11:06,user,NA,1,0,861,35,363,2.1,0,0,0,0,0
174,lilac,Å®,ÌìÐ«×ù,2004/4/26 8:55,user,NA,1,0,463,1980,999,7.1,0,0,0,0,0
175,lampre,ÄÐ,Ê¨×Ó×ù,2018/1/3 9:18,user,NA,0,0,2,0,5,0,0,0,0,0,0
176,zhangxin,ÄÐ,±£ÃÜ,2018/1/18 14:37,user,NA,0,0,1800,28,443,2.4,0,0,0,0,0
177,YolaLiu,Å®,±£ÃÜ,2018/1/2 11:48,user,NA,1,0,3,1,4,0,0,0,0,0,0
178,bdzhangnan,Å®,Ìì³Ó×ù,2017/11/3 10:33,user,NA,1,0,98,23,579,2.3,0,0,0,0,0
179,holidaygl,Å®,ÉäÊÖ×ù,2018/1/24 23:13,user,NA,1,0,1264,17,532,2.3,0,0,0,0,0
180,Seasault,Å®,Ë®Æ¿×ù,2017/10/29 23:02,user,NA,1,0,5,0,30,0.4,0,0,0,0,0
181,qsd,ÄÐ,Ë«×Ó×ù,2018/1/26 23:20,user,NA,0,0,979,33,364,2,0,0,0,0,0
182,MrSimon,ÄÐ,Ä¦ôÉ×ù,2018/1/26 17:51,user,NA,0,0,3198,4,664,2,0,0,0,0,0
183,Socrates,ÄÐ,Ä¦ôÉ×ù,2017/12/21 9:14,user,NA,0,0,3728,1439,627,3.9,0,0,0,0,0
184,Wychfield,ÄÐ,½ðÅ£×ù,2018/1/10 5:28,user,NA,0,0,6,0,102,0,0,0,0,0,0
185,shuyun,ÄÐ,Ê¨×Ó×ù,2017/4/28 4:30,user,NA,0,0,772,34,390,2.4,0,0,0,0,0
186,wildlife,±£ÃÜ,±£ÃÜ,2017/11/18 0:17,user,NA,0,1,25,3,49,0.5,0,0,0,0,0
187,Juta,±£ÃÜ,±£ÃÜ,2018/1/27 11:26,user,NA,0,1,241,0,119,1.1,0,0,0,0,0
188,Kyon,ÄÐ,ÉäÊÖ×ù,2018/1/1 23:05,user,NA,0,0,1590,32713,639,6,2,0,0,0,0
189,sdyfe,ÄÐ,ÉäÊÖ×ù,2018/1/23 20:37,user,NA,0,0,539,36,361,1.9,0,0,0,0,0
190,cnf,Å®,¾ÞÐ·×ù,2016/10/14 16:10,user,NA,1,0,583,81,178,2.7,0,0,0,0,0
191,KITT,±£ÃÜ,±£ÃÜ,2017/9/11 8:03,user,NA,0,1,2914,2075,526,4.2,0,0,0,0,0
192,aranzhang,ÄÐ,Ìì³Ó×ù,2018/1/27 9:18,user,NA,0,0,486,129,458,2.8,0,0,0,0,0
193,Mervinlei,ÄÐ,ÌìÐ«×ù,2018/1/5 11:47,user,NA,0,0,51,0,97,0.3,0,0,0,0,0
194,alaala,Å®,¾ÞÐ·×ù,2018/1/7 13:25,user,NA,1,0,6,6,100,0.2,0,0,0,0,0
195,machinebeats,±£ÃÜ,±£ÃÜ,2018/1/27 6:23,user,NA,0,1,203,4,364,0.1,0,0,0,0,0
196,junoyang,±£ÃÜ,ÄµÑò×ù,2018/1/3 14:45,user,NA,0,1,4,0,96,0,0,0,0,0,0
197,gracesuccess,Å®,Ë«×Ó×ù,2018/1/25 11:07,user,NA,1,0,65,10,117,0.7,0,0,0,0,0
198,annabelp,Å®,ÄµÑò×ù,2018/1/26 10:22,user,NA,1,0,1670,2767,403,4.3,9,0,0,0,0
199,yangzhenren,ÄÐ,ÉäÊÖ×ù,2017/3/28 17:26,user,NA,0,0,623,165,360,2.9,0,0,0,0,0
200,brilliant,Å®,Ë«Óã×ù,2017/11/14 21:02,user,NA,1,0,13,0,46,0.3,0,0,0,0,0
201,leomao,ÄÐ,Ê¨×Ó×ù,2017/12/26 9:00,user,NA,0,0,107,0,87,0.1,0,0,0,0,0
202,Jongh,Å®,¾ÞÐ·×ù,2018/1/8 11:57,user,NA,1,0,133,38,100,1.5,0,0,0,0,0
203,ganen,ÄÐ,Ìì³Ó×ù,2018/1/26 12:47,user,NA,0,0,88,21,119,0.4,0,0,0,0,0
204,Eddie,±£ÃÜ,±£ÃÜ,2018/1/27 11:27,user,NA,0,1,1720,67,364,2.4,0,0,0,0,0
205,quatre,±£ÃÜ,±£ÃÜ,2018/1/15 6:16,user,NA,0,1,2,0,17,0,0,0,0,0,0
206,jerrywong,ÄÐ,Ë«×Ó×ù,2018/1/5 8:48,user,NA,0,0,16,9,97,0.2,0,0,0,0,0
207,sanmensanshi,ÄÐ,Ë«Óã×ù,2018/1/23 0:23,user,NA,0,0,169,0,115,0.5,0,0,0,0,0
208,dawndusk,ÄÐ,´¦Å®×ù,2018/1/15 15:12,user,NA,0,0,241,0,108,1.7,0,0,0,0,0
209,blossomblue,ÄÐ,Ä¦ôÉ×ù,2018/1/18 17:26,user,NA,0,0,2287,187,656,3,0,0,0,0,0
210,fxx,±£ÃÜ,±£ÃÜ,2018/1/11 21:42,user,NA,0,1,97,30,104,1,0,0,0,0,0
211,shenkj,ÄÐ,Ë«×Ó×ù,2018/1/20 10:17,user,NA,0,0,290,2,112,1.5,0,0,0,0,0
